class,count,scheme
marm,199,morph
pall,53,morph
CCR,236,sp10.1
marm,243,sp10.1
pall,53,sp10.1
CCR,217,sp10.2
marm,262,sp10.2
pall,53,sp10.2
CCR,217,sp10.3
marm,200,sp10.3
pall,53,sp10.3
SJ,62,sp10.3
marm,248,sp14.1
pall,229,sp14.1
Baja,7,sp14.2
Foothill,45,sp14.2
marm,139,sp14.2
pall,179,sp14.2
