class,count,scheme
marm,165,morph
pall,46,morph
CCR,181,sp10.1
marm,198,sp10.1
pall,46,sp10.1
CCR,168,sp10.2
marm,211,sp10.2
pall,46,sp10.2
CCR,168,sp10.3
marm,166,sp10.3
pall,46,sp10.3
SJ,45,sp10.3
marm,202,sp14.1
pall,183,sp14.1
Baja,7,sp14.2
Foothill,33,sp14.2
marm,107,sp14.2
pall,140,sp14.2
