id,spec,lat,long,sp10.1,sp10.2,sp10.3,sp14.1,sp14.2,morph,inguinal_scute
338,MVZ 8234,37.8855504,122.11396,CCR,CCR,CCR,NA,NA,NA,1
342,MVZ 5915,37.760415,120.130832,marm,marm,SJ,marm,Foothill,NA,1
345,MVZ 7162,37.7535359999999,120.1058,marm,marm,SJ,marm,Foothill,NA,1
346,MVZ 5912,37.740876,120.15755,marm,marm,SJ,marm,Foothill,NA,0
347,MVZ 5649,37.7084699999999,120.086517,marm,marm,SJ,marm,Foothill,NA,0
348,MVZ 5913,37.659263,120.28745,marm,marm,SJ,marm,Foothill,NA,1
350,MVZ 32246,37.6293799999999,121.7051798,CCR,CCR,CCR,NA,NA,NA,0
351,MVZ 60213,37.6209806999999,121.6998837,CCR,CCR,CCR,NA,NA,NA,NA
352,MVZ 60214,37.6209806999999,121.6998837,CCR,CCR,CCR,NA,NA,NA,0
353,MVZ 60215,37.6209806999999,121.6998837,CCR,CCR,CCR,NA,NA,NA,0
354,MVZ 187673,37.6126701,121.7419441,marm,marm,SJ,marm,Foothill,NA,1
356,MVZ 72459,37.5942599999999,121.90448,CCR,CCR,CCR,NA,NA,NA,0
357,CAS 137759,37.5903,121.1217,CCR,CCR,CCR,marm,NA,NA,1
358,CAS 205750,37.5215,121.5448,CCR,CCR,CCR,NA,NA,NA,0
359,LSUMZ 16352,37.5181,121.545,CCR,CCR,CCR,NA,NA,NA,NA
360,LSUMZ 16353,37.5181,121.545,CCR,CCR,CCR,NA,NA,NA,0
362,NMNH 323180,37.48498,119.965625,marm,marm,marm,marm,NA,NA,1
363,NMNH 323181,37.48498,119.965625,marm,marm,marm,marm,NA,marm,0
364,NMNH 323183,37.48498,119.965625,marm,marm,marm,marm,NA,marm,1
365,NMNH 326206,37.48498,119.965625,marm,marm,marm,marm,NA,marm,1
366,NMNH 326207,37.48498,119.965625,marm,marm,marm,marm,NA,marm,1
367,NMNH 326208,37.48498,119.965625,marm,marm,marm,marm,NA,marm,1
368,NMNH 326209,37.48498,119.965625,marm,marm,marm,marm,NA,marm,0
369,NMNH 326210,37.48498,119.965625,marm,marm,marm,marm,NA,marm,0
370,NMNH 326211,37.48498,119.965625,marm,marm,marm,marm,NA,marm,1
371,NMNH 326438,37.48498,119.965625,marm,marm,marm,marm,NA,marm,0
374,MVZ 137810,37.4476269999999,119.855560999999,marm,marm,SJ,marm,Foothill,NA,1
375,MVZ 137811,37.4476269999999,119.855560999999,marm,marm,SJ,marm,Foothill,NA,0
377,CAS 1236,37.44194,122.14194,CCR,CCR,CCR,NA,NA,NA,0
378,CAS 3170,37.44194,122.14194,CCR,CCR,CCR,NA,NA,NA,NA
379,CAS 3761,37.44194,122.14194,CCR,CCR,CCR,NA,NA,NA,1
383,CAS 188537,37.4271,121.5,CCR,CCR,CCR,NA,NA,NA,0
386,CAS 13900,37.3856,121.5714,CCR,CCR,CCR,NA,NA,NA,0
389,CAS 1238,37.3281,122.3681,CCR,CCR,CCR,NA,NA,NA,0
393,CAS 50168,37.1967,122.0833,CCR,CCR,CCR,NA,NA,NA,0
394,CAS 188538,37.1712,121.6633,CCR,CCR,CCR,NA,NA,NA,0
397,MVZ 55532,37.090636,119.721442999999,marm,marm,SJ,marm,Foothill,NA,1
398,LSUMZ 84384,37.090636,119.721442999999,marm,marm,SJ,marm,Foothill,NA,1
400,CAS 188530,37.0567,121.4642,CCR,CCR,CCR,NA,NA,NA,NA
401,CAS 208780,37.0435,119.34444,marm,marm,SJ,marm,Foothill,NA,1
402,MVZ 34937,37.0178099999999,119.70854,marm,marm,SJ,marm,Foothill,NA,1
403,MVZ 34938,37.004511,119.670285,marm,marm,SJ,marm,Foothill,NA,0
404,CAS 8611,37.0043,119.8417,marm,marm,SJ,marm,Foothill,NA,0
405,LACM 105320,37.002999,121.670181,CCR,CCR,CCR,NA,NA,NA,0
406,CAS 188528,37,121.5333,CCR,CCR,CCR,NA,NA,NA,NA
407,CAS 208745,36.9878,119.32372,marm,marm,SJ,marm,Foothill,NA,NA
408,NMNH 50944,36.971569,121.547258,marm,marm,marm,marm,NA,marm,0
409,CAS 218663,36.9519,121.55786,CCR,CCR,CCR,NA,NA,NA,0
413,MVZ 83561,36.8515761,121.429807999999,CCR,CCR,CCR,NA,NA,NA,NA
414,MVZ 83562,36.8515761,121.429807999999,CCR,CCR,CCR,NA,NA,NA,NA
416,CAS 53943,36.8257,121.3983,CCR,CCR,CCR,NA,NA,NA,0
420,MVZ 238089,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
421,MVZ 238090,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,1
422,MVZ 238091,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
423,MVZ 238092,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
424,MVZ 238093,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,1
425,MVZ 238094,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
426,MVZ 238095,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,1
427,MVZ 238096,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,1
428,MVZ 238097,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
429,MVZ 238098,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
430,MVZ 238099,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
431,MVZ 238100,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,1
432,MVZ 238101,36.6972,119.8911,marm,marm,SJ,marm,Foothill,NA,NA
433,MVZ 207755,36.6968999999999,120.3357,CCR,marm,SJ,marm,Foothill,NA,1
434,LSUMZ 84379,36.6968999999999,120.3357,CCR,marm,SJ,marm,Foothill,NA,1
436,LSUMZ 84381,36.5916667,120.78833,CCR,CCR,CCR,NA,NA,NA,1
437,MVZ 21214,36.5844,120.80128,CCR,CCR,CCR,NA,NA,NA,NA
439,MVZ 21216,36.5844,120.80128,CCR,CCR,CCR,NA,NA,NA,NA
444,MVZ 83563,36.472323,121.1527483,CCR,CCR,CCR,NA,NA,NA,NA
445,MVZ 83631,36.461477,121.0651675,CCR,CCR,CCR,NA,NA,NA,0
447,LSUMZ 8421,36.2847,120.8408,CCR,CCR,CCR,NA,NA,NA,1
448,CAS 188534,36.2486,121.07923,CCR,CCR,CCR,NA,NA,NA,1
449,CAS 159487,36.20278,120.10194,CCR,marm,SJ,NA,NA,NA,1
450,FMNH 2905,36.202416,121.138948,CCR,CCR,CCR,NA,NA,NA,0
451,CAS 224885,36.20111,118.76086,marm,marm,SJ,marm,Foothill,NA,1
452,CAS 43451,36.195,119.29639,marm,marm,SJ,marm,Foothill,NA,0
453,CAS 224202,36.16144,118.70939,marm,marm,SJ,marm,Foothill,NA,1
455,CAS 188536,36.1014,121.4922,CCR,CCR,CCR,NA,NA,NA,0
456,JRB 0047,36.098018,119.881618,CCR,marm,SJ,marm,Foothill,NA,NA
457,CAS 8623,36.01528,121.24889,CCR,CCR,CCR,NA,NA,NA,0
458,CAS 9697,36.01528,121.24889,CCR,CCR,CCR,pall,NA,NA,0
459,CAS 54252,35.75805556,120.8836111,CCR,CCR,CCR,pall,pall,NA,1
460,MVZ 207756,35.7291834999999,118.1366644,marm,marm,SJ,marm,Foothill,NA,1
461,CAS 210455,35.7236,121.2767,CCR,CCR,CCR,pall,pall,NA,0
462,LSUMZ 84382,35.68472,118.1792,marm,marm,SJ,marm,Foothill,NA,1
463,LSUMZ 84383,35.68472,118.1792,marm,marm,SJ,marm,Foothill,NA,1
464,LACM 136728,35.663293,121.211844,CCR,CCR,CCR,pall,pall,NA,0
465,LACM 136729,35.663293,121.211844,CCR,CCR,CCR,pall,pall,NA,0
466,LACM 136726,35.6586,120.3702,CCR,CCR,CCR,pall,pall,NA,0
467,LACM 136727,35.6586,120.3702,CCR,CCR,CCR,pall,pall,NA,0
468,MSE field # 2065,35.653433,121.219499,CCR,CCR,CCR,pall,pall,NA,1
469,LACM 149102,35.651256,121.21952,CCR,CCR,CCR,pall,pall,NA,0
470,LACM 136730,35.642666,121.182429,CCR,CCR,CCR,pall,pall,NA,0
471,LACM 136731,35.642666,121.182429,CCR,CCR,CCR,pall,pall,NA,1
473,LACM 153075,35.622835,121.139309,CCR,CCR,CCR,pall,pall,NA,NA
474,MVZ 207757,35.622835,121.139309,CCR,CCR,CCR,pall,pall,NA,0
475,MVZ 207758,35.622835,121.139309,CCR,CCR,CCR,pall,pall,NA,0
476,LACM 153064,35.616655,121.147225,CCR,CCR,CCR,pall,pall,NA,0
477,LACM 153065,35.616655,121.147225,CCR,CCR,CCR,pall,pall,NA,0
478,LACM 153068,35.616655,121.147225,CCR,CCR,CCR,pall,pall,NA,0
479,MVZ 38414,35.6160459999999,118.4491945,marm,marm,SJ,marm,Foothill,NA,1
481,LACM 153063,35.599412,121.114286,CCR,CCR,CCR,pall,pall,NA,NA
482,LACM 153066,35.599412,121.114286,CCR,CCR,CCR,pall,pall,NA,0
483,LACM 153072,35.599412,121.114286,CCR,CCR,CCR,pall,pall,NA,NA
484,LACM 153073,35.599412,121.114286,CCR,CCR,CCR,pall,pall,NA,NA
485,LACM 153070,35.599412,121.114286,CCR,CCR,CCR,pall,pall,NA,0
486,LACM 153069,35.596671,121.117853,CCR,CCR,CCR,pall,pall,NA,0
487,MVZ 238103,35.5653,119.5358,CCR,marm,SJ,NA,NA,NA,NA
488,MVZ 238104,35.5653,119.5358,CCR,marm,SJ,NA,NA,NA,0
489,MVZ 238105,35.5653,119.5358,CCR,marm,SJ,NA,NA,NA,1
490,MVZ 238106,35.5653,119.5358,CCR,CCR,CCR,marm,NA,NA,1
491,MVZ 238107,35.5653,119.5358,CCR,marm,SJ,NA,NA,NA,1
492,LSUMZ 84380,35.5625,120.95167,CCR,CCR,CCR,NA,NA,NA,0
493,LACM 149101,35.540598,121.073564,CCR,CCR,CCR,pall,pall,NA,0
494,LSUMZ 18504,35.300071,119.2583,CCR,marm,SJ,NA,NA,NA,1
496,LACM 23487,35.254954,120.271927,CCR,CCR,CCR,pall,pall,NA,0
498,KDA 0032,35.2045,120.0388333,CCR,CCR,CCR,pall,pall,NA,0
499,CAS 43441,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,1
500,CAS 43442,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,1
501,CAS 43443,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,1
502,CAS 43444,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,NA
503,CAS 43445,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,NA
504,CAS 43446,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,1
505,CAS 43447,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,NA
506,CAS 43448,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,NA
507,CAS 43449,35.195,119.29639,CCR,marm,SJ,NA,NA,NA,1
